40,Carcharhinus leucas,32.93784,-26.75198,2015-11-28,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
41,Carcharhinus leucas,32.93784,-26.75198,2015-11-28,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
42,Carcharhinus leucas,32.93784,-26.75198,2015-11-25,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
43,Carcharhinus leucas,32.93784,-26.75198,2015-11-25,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
44,Carcharhinus leucas,32.9,-26.84,2013-02-19,"DALY, RYAN","PONTA DO OURO, MOZAMBIQUE",Zambezi shark
45,Carcharhinus leucas,32.9,-26.84,2013-02-19,"DALY, RYAN","PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
46,Galeocerdo cuvier,32.9,-26.84,2014-01-29,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Tiger Shark
47,Carcharhinus leucas,32.9,-26.84,2014-11-26,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
48,Carcharhinus leucas,32.9,-26.84,2014-11-26,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
49,Carcharhinus leucas,32.9,-26.84,2015-05-14,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
50,Carcharhinus leucas,32.9,-26.84,2015-05-14,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
51,Carcharhinus leucas,32.9,-26.84,2015-05-13,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
52,Carcharhinus leucas,32.9,-26.84,2015-05-13,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
53,Carcharhinus leucas,32.9,-26.84,2015-05-08,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
54,Carcharhinus leucas,32.9,-26.84,2015-05-08,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
55,Galeocerdo cuvier,32.9,-26.84,2015-01-13,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Tiger Shark
56,Carcharhinus leucas,32.9,-26.84,2015-05-09,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
57,Carcharhinus leucas,32.9,-26.84,2015-05-09,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
58,Galeocerdo cuvier,32.9,-26.84,2015-01-12,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Tiger Shark
59,Carcharhinus leucas,32.9,-26.84,2015-05-12,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
60,Carcharhinus leucas,32.9,-26.84,2015-05-12,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
61,Carcharhinus leucas,32.9,-26.84,2014-11-21,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
62,Carcharhinus leucas,32.9,-26.84,2014-11-21,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
63,Galeocerdo cuvier,32.93784,-26.75198,2015-06-12,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Tiger Shark
64,Carcharhinus leucas,32.93784,-26.75198,2015-11-24,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
65,Carcharhinus leucas,32.93784,-26.75198,2015-11-24,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
66,Galeocerdo cuvier,32.93784,-26.75198,2015-04-12,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Tiger Shark
67,Galeocerdo cuvier,32.93784,-26.75198,2015-05-12,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Tiger Shark
68,Carcharhinus leucas,32.93784,-26.75198,2015-12-03,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Zambezi shark
69,Carcharhinus leucas,32.93784,-26.75198,2015-12-03,RYAN DALY,"PONTA DO OURO, MOZAMBIQUE",Atlantische grondhaai
