32,Prionace glauca,-63.25061,44.23421,2019-08-12,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,,1.135,Blue Shark
33,Prionace glauca,-63.25505,44.23419,2019-08-12,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,,1.1,Blue Shark
34,Prionace glauca,-63.1873,44.2684,2018-09-01,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.7,Blue Shark
35,Prionace glauca,-63.1752,44.269,2018-09-01,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.33,Blue Shark
36,Prionace glauca,-63.24914,44.23478,2019-08-12,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,,1.4,Blue Shark
37,Prionace glauca,-63.28164,44.21959,2019-08-25,FRED WHORISKEY,EASTERN PASSAGE,M,JUVENILE,,1.14,Blue Shark
38,Prionace glauca,-63.219623,44.201745,2013-07-23,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,18.14,1.39,Blue Shark
39,Prionace glauca,-63.23805,44.21659,2013-07-31,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,27.71,1.56,Blue Shark
40,Prionace glauca,-63.2672,44.20432,2013-08-02,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,10.52,1.29,Blue Shark
41,Prionace glauca,-63.23802,44.21658,2013-07-31,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,30.88,1.62,Blue Shark
42,Prionace glauca,-62.59801,44.25894,2015-07-17,FRED WHORISKEY,"EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.5748,Blue Shark
43,Prionace glauca,-63.27331,44.22916,2021-08-05,FRED WHORISKEY,"~20KM OFF EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.41,Blue Shark
44,Prionace glauca,-63.25522,44.22663,2021-08-09,FRED WHORISKEY,"~20KM OFF EASTERN PASSAGE, NOVA SCOTIA",F,JUVENILE,,1.3335,Blue Shark
45,Prionace glauca,-63.53741667,44.3842,2019-09-06,FRED WHORISKEY,"SHOAL GROUNDS, 2-4 NM OFF SAMBRO HEAD",F,JUVENILE,,1.494,Blue Shark
46,Prionace glauca,-63.24085,44.19939,2014-08-23,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,15,1.35,Blue Shark
47,Prionace glauca,-63.20159,44.22003,2014-08-25,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,6,1.07,Blue Shark
48,Prionace glauca,-63.2472,44.19939,2014-08-23,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,18,1.47,Blue Shark
49,Prionace glauca,-63.2022,44.2144,2014-08-28,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,28,1.55,Blue Shark
50,Prionace glauca,-63.1989,44.2179,2014-08-28,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,22,1.55,Blue Shark
51,Prionace glauca,-63.20468,44.21721,2014-08-23,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,,1.36,Blue Shark
52,Prionace glauca,-63.21137,44.21355,2014-08-23,FRED WHORISKEY,EASTERN PASSAGE,F,JUVENILE,11,1.28,Blue Shark
